,Invoice Date,Product,Region,Retailer,Sales Method,State,Price per Unit,Total Sales,Units Sold
40,2020-03-14,Men's Apparel,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
41,2020-03-15,Women's Apparel,Northeast,Foot Locker,Outlet,New York,65,3594.5,71.0
42,2020-03-16,Men's Street Footwear,Northeast,Foot Locker,Outlet,New York,60,3594.5,71.0
43,2020-03-17,Men's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,55,3594.5,71.0
44,2020-03-18,Women's Street Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
45,2020-03-31,Women's Athletic Footwear,Northeast,Foot Locker,Outlet,New York,50,3594.5,71.0
46,2020-04-17,Men's Apparel,Northeast,Walmart,Outlet,New York,60,3594.5,71.0
47,2020-04-18,Women's Apparel,Northeast,Walmart,Outlet,New York,65,3594.5,71.0
48,2020-04-19,Men's Street Footwear,Northeast,Walmart,Outlet,New York,60,3594.5,71.0
49,2020-04-20,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,3594.5,71.0
50,2020-04-21,Women's Street Footwear,Northeast,Walmart,Outlet,New York,50,3594.5,71.0
51,2020-04-22,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,50,3594.5,71.0
52,2020-04-23,Men's Apparel,Northeast,Walmart,Outlet,New York,60,3594.5,71.0
53,2020-04-24,Women's Apparel,Northeast,Walmart,Outlet,New York,65,3594.5,71.0
54,2020-04-25,Men's Apparel,Northeast,Walmart,Outlet,New York,65,3594.5,71.0
55,2020-04-26,Women's Apparel,Northeast,Walmart,Outlet,New York,70,3594.5,71.0
56,2020-04-27,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,3594.5,71.0
57,2020-04-28,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,3594.5,71.0
58,2020-04-29,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,3594.5,71.0
59,2020-04-30,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,3594.5,71.0
60,2020-05-01,Men's Apparel,Northeast,Walmart,Outlet,New York,65,3594.5,71.0
61,2020-05-02,Women's Apparel,Northeast,Walmart,Outlet,New York,70,3594.5,71.0
62,2020-05-03,Men's Street Footwear,Northeast,Walmart,Outlet,New York,65,3594.5,71.0
63,2020-05-04,Men's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,3594.5,71.0
64,2020-05-05,Women's Street Footwear,Northeast,Walmart,Outlet,New York,55,3594.5,71.0
65,2020-05-06,Women's Athletic Footwear,Northeast,Walmart,Outlet,New York,55,3594.5,71.0
66,2020-05-07,Men's Apparel,Northeast,Walmart,Outlet,New York,65,3594.5,71.0
67,2020-07-18,Women's Apparel,Northeast,Walmart,Outlet,New York,70,3594.5,71.0
68,2020-07-19,Men's Street Footwear,Northeast,Sports Direct,Outlet,New York,25,2250.0,71.0
69,2020-07-20,Men's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,3150.0,71.0
70,2020-07-21,Women's Street Footwear,Northeast,Sports Direct,Outlet,New York,35,2450.0,70.0
71,2020-07-22,Women's Athletic Footwear,Northeast,Sports Direct,Outlet,New York,35,2450.0,70.0
72,2020-07-23,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2200.0,55.0
73,2020-07-24,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450.0,70.0
74,2020-07-25,Men's Street Footwear,South,Sports Direct,Outlet,Texas,25,2125.0,71.0
75,2020-07-26,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2975.0,71.0
76,2020-07-27,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2363.0,68.0
77,2020-07-28,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,35,2188.0,63.0
78,2020-07-29,Men's Apparel,South,Sports Direct,Outlet,Texas,40,2000.0,50.0
79,2020-07-30,Women's Apparel,South,Sports Direct,Outlet,Texas,35,2450.0,70.0
80,2020-07-31,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2625.0,71.0
81,2020-08-01,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3500.0,71.0
82,2020-08-02,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2450.0,70.0
83,2020-08-03,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2400.0,60.0
84,2020-08-04,Men's Apparel,South,Sports Direct,Outlet,Texas,45,2250.0,50.0
85,2020-08-05,Women's Apparel,South,Sports Direct,Outlet,Texas,40,2600.0,65.0
86,2020-08-06,Men's Street Footwear,South,Sports Direct,Outlet,Texas,30,2700.0,71.0
87,2020-08-07,Men's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,3594.5,71.0
88,2020-08-08,Women's Street Footwear,South,Sports Direct,Outlet,Texas,35,2538.0,71.0
89,2020-08-09,Women's Athletic Footwear,South,Sports Direct,Outlet,Texas,40,2500.0,63.0
90,2020-08-10,Men's Apparel,South,Walmart,Outlet,Texas,45,2363.0,53.0
91,2020-08-11,Women's Apparel,South,Walmart,Outlet,Texas,40,3200.0,71.0
92,2020-08-12,Men's Street Footwear,South,Walmart,Outlet,Texas,30,2775.0,71.0
93,2020-08-13,Men's Athletic Footwear,South,Walmart,Outlet,Texas,40,3594.5,71.0
94,2020-08-14,Women's Street Footwear,South,Walmart,Outlet,Texas,35,2713.0,71.0
95,2020-08-15,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800.0,70.0
96,2020-08-16,Men's Apparel,South,Walmart,Outlet,Texas,45,2700.0,60.0
97,2020-08-17,Women's Apparel,South,Walmart,Outlet,Texas,40,3594.5,71.0
98,2020-08-18,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3594.5,71.0
99,2020-08-19,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
100,2020-08-20,Women's Street Footwear,South,Walmart,Outlet,Texas,40,3200.0,71.0
101,2020-08-21,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,3000.0,71.0
102,2020-08-22,Men's Apparel,South,Walmart,Outlet,Texas,45,2925.0,65.0
103,2020-08-23,Women's Apparel,South,Walmart,Outlet,Texas,50,3594.5,71.0
104,2020-08-24,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3594.5,71.0
105,2020-08-25,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
106,2020-08-26,Women's Street Footwear,South,Walmart,Outlet,Texas,40,3594.5,71.0
107,2020-08-27,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2800.0,70.0
108,2020-08-28,Men's Apparel,South,Walmart,Outlet,Texas,45,3150.0,70.0
109,2020-08-29,Women's Apparel,South,Walmart,Outlet,Texas,50,3594.5,71.0
110,2020-08-30,Men's Street Footwear,South,Walmart,Outlet,Texas,40,3594.5,71.0
111,2020-08-31,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
112,2020-09-01,Women's Street Footwear,South,Walmart,Outlet,Texas,40,3594.5,71.0
113,2020-09-02,Women's Athletic Footwear,South,Walmart,Outlet,Texas,40,2600.0,65.0
114,2020-09-03,Men's Apparel,South,Walmart,Outlet,Texas,45,2925.0,65.0
115,2020-09-04,Women's Apparel,South,Walmart,Outlet,Texas,50,3594.5,71.0
116,2020-09-05,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
117,2020-09-06,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
118,2020-09-07,Women's Street Footwear,South,Walmart,Outlet,Texas,50,3594.5,71.0
119,2020-09-08,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3125.0,63.0
120,2020-09-09,Men's Apparel,South,Walmart,Outlet,Texas,45,2813.0,63.0
121,2020-09-10,Women's Apparel,South,Walmart,Outlet,Texas,55,3594.5,71.0
122,2020-09-11,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
123,2020-09-12,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
124,2020-09-13,Women's Street Footwear,South,Walmart,Outlet,Texas,50,3594.5,71.0
125,2020-09-14,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3000.0,60.0
126,2020-09-15,Men's Apparel,South,Walmart,Outlet,Texas,45,2588.0,58.0
127,2020-09-16,Women's Apparel,South,Walmart,Outlet,Texas,55,3594.5,71.0
128,2020-10-20,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
129,2020-10-21,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
130,2020-10-22,Women's Street Footwear,South,Walmart,Outlet,Texas,50,3594.5,71.0
131,2020-10-23,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3375.0,68.0
132,2020-10-24,Men's Apparel,South,Walmart,Outlet,Texas,45,2925.0,65.0
133,2020-10-25,Women's Apparel,South,Walmart,Outlet,Texas,55,3594.5,71.0
134,2020-10-26,Men's Street Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
135,2020-10-27,Men's Athletic Footwear,South,Walmart,Outlet,Texas,45,3594.5,71.0
136,2020-10-28,Women's Street Footwear,South,Walmart,Outlet,Texas,50,3594.5,71.0
137,2020-10-29,Women's Athletic Footwear,South,Walmart,Outlet,Texas,50,3500.0,70.0
138,2020-10-30,Men's Apparel,South,Walmart,Outlet,Texas,45,2925.0,65.0
139,2020-10-31,Women's Apparel,South,Walmart,Outlet,Texas,55,3594.5,71.0
140,2020-11-01,Men's Street Footwear,South,West Gear,Outlet,Texas,40,3100.0,71.0
141,2020-11-02,Men's Athletic Footwear,South,West Gear,Outlet,Texas,50,3594.5,71.0
142,2020-11-03,Women's Street Footwear,South,West Gear,Outlet,Texas,50,3594.5,71.0
143,2020-11-04,Women's Athletic Footwear,South,West Gear,Outlet,Texas,50,3125.0,63.0
144,2020-11-05,Men's Apparel,West,West Gear,Outlet,California,55,3163.0,58.0
145,2020-11-06,Women's Apparel,West,West Gear,Outlet,California,50,3594.5,71.0
146,2020-11-07,Men's Street Footwear,West,West Gear,Outlet,California,40,3300.0,71.0
147,2020-11-08,Men's Athletic Footwear,West,West Gear,Outlet,California,50,3594.5,71.0
148,2020-11-09,Women's Street Footwear,West,West Gear,Outlet,California,50,3594.5,71.0
149,2020-11-10,Women's Athletic Footwear,West,West Gear,Outlet,California,50,2875.0,58.0
150,2020-11-11,Men's Apparel,West,West Gear,Outlet,California,55,2750.0,50.0
151,2020-11-12,Women's Apparel,West,West Gear,Outlet,California,50,3500.0,70.0
152,2020-11-13,Men's Street Footwear,West,West Gear,Outlet,California,50,3594.5,71.0
153,2020-11-14,Men's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,70.0
154,2020-11-15,Women's Street Footwear,West,West Gear,Outlet,California,60,3594.5,70.0
155,2020-12-22,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,60.0
156,2020-12-23,Men's Apparel,West,West Gear,Outlet,California,65,3250.0,50.0
157,2020-12-24,Women's Apparel,West,West Gear,Outlet,California,60,3594.5,70.0
158,2020-12-25,Men's Street Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
159,2020-12-26,Men's Athletic Footwear,West,West Gear,Outlet,California,65,3594.5,68.0
160,2020-12-27,Women's Street Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
161,2020-12-28,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,63.0
162,2020-12-29,Men's Apparel,West,West Gear,Outlet,California,65,3413.0,53.0
163,2020-12-30,Women's Apparel,West,West Gear,Outlet,California,80,3594.5,70.0
164,2020-12-31,Men's Street Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
165,2021-01-01,Men's Athletic Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
166,2021-01-02,Women's Street Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
167,2021-01-03,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,65.0
168,2021-01-04,Men's Apparel,West,West Gear,Outlet,California,65,3575.0,55.0
169,2021-01-05,Women's Apparel,West,West Gear,Outlet,California,80,3594.5,71.0
170,2021-01-06,Men's Street Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
171,2021-01-07,Men's Athletic Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
172,2021-01-08,Women's Street Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
173,2021-01-09,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,70.0
174,2021-01-10,Men's Apparel,West,West Gear,Outlet,California,65,3594.5,58.0
175,2021-01-11,Women's Apparel,West,West Gear,Outlet,California,80,3594.5,71.0
176,2021-01-12,Men's Street Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
177,2021-01-13,Men's Athletic Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
178,2021-01-14,Women's Street Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
179,2021-01-15,Women's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
180,2021-01-16,Men's Apparel,West,West Gear,Outlet,California,65,3594.5,71.0
181,2021-01-17,Women's Apparel,West,West Gear,Outlet,California,80,3594.5,71.0
182,2021-01-18,Men's Street Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
183,2021-01-19,Men's Athletic Footwear,West,West Gear,Outlet,California,70,3594.5,71.0
184,2021-01-20,Women's Street Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
185,2021-01-21,Women's Athletic Footwear,West,West Gear,Outlet,California,65,3594.5,71.0
186,2021-01-22,Men's Apparel,West,West Gear,Outlet,California,75,3594.5,71.0
187,2021-01-23,Women's Apparel,West,West Gear,Outlet,California,80,3594.5,71.0
188,2021-01-24,Men's Street Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
189,2021-01-25,Men's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
190,2021-01-26,Women's Street Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
191,2021-01-27,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
192,2021-01-28,Men's Apparel,West,West Gear,Outlet,California,65,3594.5,71.0
193,2021-01-29,Women's Apparel,West,West Gear,Outlet,California,70,3594.5,71.0
194,2021-01-30,Men's Street Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
195,2021-01-31,Men's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
196,2021-02-01,Women's Street Footwear,West,West Gear,Outlet,California,55,3594.5,70.0
197,2021-02-02,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3594.5,68.0
198,2021-02-03,Men's Apparel,West,West Gear,Outlet,California,65,3594.5,65.0
199,2021-02-04,Women's Apparel,West,West Gear,Outlet,California,70,3594.5,70.0
200,2021-02-05,Men's Street Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
201,2021-02-06,Men's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
202,2021-02-07,Women's Street Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
203,2021-02-08,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3594.5,70.0
204,2021-02-09,Men's Apparel,West,West Gear,Outlet,California,65,3594.5,65.0
205,2021-02-10,Women's Apparel,West,West Gear,Outlet,California,70,3594.5,71.0
206,2021-02-11,Men's Street Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
207,2021-02-12,Men's Athletic Footwear,West,West Gear,Outlet,California,60,3594.5,71.0
208,2021-02-13,Women's Street Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
209,2021-02-14,Women's Athletic Footwear,West,West Gear,Outlet,California,55,3594.5,71.0
210,2021-02-15,Men's Apparel,West,West Gear,Outlet,California,65,3594.5,70.0
211,2021-02-16,Women's Apparel,West,West Gear,Outlet,California,70,3594.5,71.0
212,2021-02-17,Men's Street Footwear,West,Kohl's,Outlet,California,35,2450.0,70.0
213,2021-02-18,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,3150.0,70.0
214,2021-03-09,Women's Street Footwear,West,Kohl's,Outlet,California,45,3150.0,70.0
215,2021-03-10,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475.0,55.0
216,2021-03-11,Men's Apparel,West,Kohl's,Outlet,California,50,2500.0,50.0
217,2021-03-12,Women's Apparel,West,Kohl's,Outlet,California,45,3150.0,70.0
218,2021-03-13,Men's Street Footwear,West,Kohl's,Outlet,California,35,2625.0,71.0
219,2021-03-14,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925.0,65.0
220,2021-03-15,Women's Street Footwear,West,Kohl's,Outlet,California,45,3038.0,68.0
221,2021-03-16,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363.0,53.0
222,2021-03-17,Men's Apparel,West,Kohl's,Outlet,California,50,2250.0,45.0
223,2021-03-18,Women's Apparel,West,Kohl's,Outlet,California,45,2925.0,65.0
224,2021-03-19,Men's Street Footwear,West,Kohl's,Outlet,California,35,2800.0,71.0
225,2021-03-20,Men's Athletic Footwear,West,Kohl's,Outlet,California,45,2925.0,65.0
226,2021-03-21,Women's Street Footwear,West,Kohl's,Outlet,California,45,2925.0,65.0
227,2021-03-22,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475.0,55.0
228,2021-03-23,Men's Apparel,West,Kohl's,Outlet,California,50,2125.0,43.0
229,2021-04-06,Women's Apparel,West,Kohl's,Outlet,California,45,2813.0,63.0
230,2021-04-07,Men's Street Footwear,West,Kohl's,Outlet,California,45,3594.5,71.0
231,2021-04-08,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3000.0,60.0
232,2021-04-09,Women's Street Footwear,West,Kohl's,Outlet,California,50,3125.0,63.0
233,2021-04-10,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2363.0,53.0
234,2021-04-11,Men's Apparel,West,Kohl's,Outlet,California,50,2125.0,43.0
235,2021-04-12,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,60.0
236,2021-04-13,Men's Street Footwear,West,Kohl's,Outlet,California,45,3594.5,71.0
237,2021-04-14,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3250.0,65.0
238,2021-04-15,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250.0,65.0
239,2021-04-16,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2475.0,55.0
240,2021-04-17,Men's Apparel,West,Kohl's,Outlet,California,50,2250.0,45.0
241,2021-04-18,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,63.0
242,2021-04-19,Men's Street Footwear,West,Kohl's,Outlet,California,45,3594.5,71.0
243,2021-04-20,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
244,2021-04-21,Women's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
245,2021-04-22,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2813.0,63.0
246,2021-04-23,Men's Apparel,West,Kohl's,Outlet,California,50,2500.0,50.0
247,2021-04-24,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,71.0
248,2021-04-25,Men's Street Footwear,West,Kohl's,Outlet,California,45,3594.5,71.0
249,2021-04-26,Men's Athletic Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
250,2021-04-27,Women's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
251,2021-04-28,Women's Athletic Footwear,West,Kohl's,Outlet,California,45,2925.0,65.0
252,2021-04-29,Men's Apparel,West,Kohl's,Outlet,California,50,3500.0,70.0
253,2021-04-30,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,70.0
254,2021-05-01,Men's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
255,2021-05-02,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,3594.5,71.0
256,2021-05-03,Women's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
257,2021-05-04,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3375.0,68.0
258,2021-05-05,Men's Apparel,West,Kohl's,Outlet,California,60,3594.5,68.0
259,2021-05-06,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,65.0
260,2021-05-07,Men's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
261,2021-05-08,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,3594.5,71.0
262,2021-05-09,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500.0,70.0
263,2021-05-10,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250.0,65.0
264,2021-05-11,Men's Apparel,West,Kohl's,Outlet,California,60,3594.5,65.0
265,2021-05-12,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,70.0
266,2021-05-13,Men's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
267,2021-05-14,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,3594.5,71.0
268,2021-05-15,Women's Street Footwear,West,Kohl's,Outlet,California,50,3250.0,65.0
269,2021-05-16,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3125.0,63.0
270,2021-05-17,Men's Apparel,West,Kohl's,Outlet,California,60,3594.5,60.0
271,2021-05-18,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,65.0
272,2021-05-19,Men's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
273,2021-05-20,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,3594.5,71.0
274,2021-05-21,Women's Street Footwear,West,Kohl's,Outlet,California,50,3375.0,68.0
275,2021-05-22,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3250.0,65.0
276,2021-05-23,Men's Apparel,West,Kohl's,Outlet,California,60,3594.5,60.0
277,2021-05-24,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,70.0
278,2021-05-25,Men's Street Footwear,West,Kohl's,Outlet,California,50,3594.5,71.0
279,2021-05-26,Men's Athletic Footwear,West,Kohl's,Outlet,California,55,3594.5,71.0
280,2021-05-27,Women's Street Footwear,West,Kohl's,Outlet,California,50,3500.0,70.0
281,2021-05-28,Women's Athletic Footwear,West,Kohl's,Outlet,California,50,3500.0,70.0
282,2021-05-29,Men's Apparel,West,Kohl's,Outlet,California,60,3594.5,63.0
283,2021-05-30,Women's Apparel,West,Kohl's,Outlet,California,65,3594.5,71.0
284,2021-05-31,Men's Street Footwear,West,Foot Locker,Outlet,California,45,2138.0,48.0
285,2021-06-01,Men's Athletic Footwear,West,Foot Locker,Outlet,California,45,1238.0,28.0
286,2021-06-02,Women's Street Footwear,West,Foot Locker,Outlet,California,35,963.0,28.0
287,2021-06-03,Women's Athletic Footwear,West,Foot Locker,Outlet,California,40,500.0,13.0
288,2021-06-04,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963.0,18.0
289,2021-06-05,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238.0,28.0
290,2021-06-06,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,45,2363.0,53.0
291,2021-06-07,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,45,788.0,18.0
292,2021-06-08,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,35,788.0,23.0
293,2021-06-09,Women's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,40,400.0,10.0
294,2021-06-10,Men's Apparel,Midwest,Foot Locker,Outlet,Illinois,55,963.0,18.0
295,2021-06-11,Women's Apparel,Midwest,Foot Locker,Outlet,Illinois,45,1238.0,28.0
296,2021-06-12,Men's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,50,2475.0,50.0
297,2021-06-13,Men's Athletic Footwear,Midwest,Foot Locker,Outlet,Illinois,50,1000.0,20.0
298,2021-06-14,Women's Street Footwear,Midwest,Foot Locker,Outlet,Illinois,40,900.0,23.0
