,Product Name,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited
11,Women's adidas Originals Continental Vulc Shoes,6599.0,3959,40,Adidas ORIGINALS,These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.,4.2,35,2020-04-13 15:06:16
12,Women's adidas Running Duramo 9 Shoes,5999.0,2999,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",2.6,97,2020-04-13 15:06:16
13,Women's adidas Originals Supercourt Shoes,7599.0,4559,40,Adidas ORIGINALS,"Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look.",3.1,62,2020-04-13 15:06:16
14,Men's adidas Sport Inspired Response Trail Shoes,7999.0,3999,50,Adidas CORE / NEO,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",3.2,16,2020-04-13 15:06:16
15,Women's adidas Running Cosmic 2 Shoes,5999.0,2999,50,Adidas CORE / NEO,"These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time.",3.1,69,2020-04-13 15:06:16
16,Women's adidas Sport Inspired Storm Runner Shoes,4599.0,2299,50,Adidas CORE / NEO,"A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long.",1.0,16,2020-04-13 15:06:16
17,Women's adidas Sport Inspired Quickspike Shoes,3999.0,1999,50,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",3.1,8,2020-04-13 15:06:16
18,WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,3299.0,1649,50,Adidas CORE / NEO,A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear.,2.7,62,2020-04-13 15:06:16
19,Women's adidas Sport Inspired Lite Racer Shoes,4299.0,2149,50,Adidas CORE / NEO,Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth.,3.8,67,2020-04-13 15:06:16
20,Women's adidas Running Duramo 9 Shoes,5599.0,2799,50,Adidas CORE / NEO,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",5.0,30,2020-04-13 15:06:16
21,Women's adidas Sport Inspired Arcadeis Shoes,4299.0,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,3.7,43,2020-04-13 15:06:17
22,Women's adidas Sport Inspired Videll Shoes,3799.0,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.9,13,2020-04-13 15:06:17
23,Women's adidas Running EnergyFalcon X Shoes,6599.0,3299,50,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",4.4,81,2020-04-13 15:06:17
24,Women's adidas Sport Inspired Videll Shoes,3799.0,1899,50,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.6,70,2020-04-13 15:06:17
25,Women's adidas Running Hellion Z Shoes,3299.0,1979,40,Adidas CORE / NEO,Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet.,2.7,46,2020-04-13 15:06:17
26,Women's adidas Sport Inspired Videll Shoes,3799.0,2279,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.,3.2,63,2020-04-13 15:06:17
27,Women's adidas Sport Inspired Arcadeis Shoes,4299.0,2149,50,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,4.9,95,2020-04-13 15:06:17
28,Women's adidas Sport Inspired Cloudfoam Pure Shoes,5599.0,3359,40,Adidas CORE / NEO,These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.,5.0,15,2020-04-13 15:06:18
29,Women's adidas Running Hellion Z Shoes,3299.0,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.6,34,2020-04-13 15:06:18
30,Women's adidas Sport Inspired Yking 2.0 Shoes,3299.0,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",2.2,86,2020-04-13 15:06:18
31,Women's adidas Running Hellion Z Shoes,3299.0,1979,40,Adidas CORE / NEO,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground.",3.9,3,2020-04-13 15:06:18
32,Women's adidas Sport Inspired Yking 2.0 Shoes,3299.0,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",3.4,67,2020-04-13 15:06:18
33,Women's adidas Sport Inspired RunFalcon Shoes,5599.0,3359,40,Adidas CORE / NEO,"Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support.",3.3,5,2020-04-13 15:06:18
34,Women's adidas Sport Inspired Quickspike Shoes,3999.0,2399,40,Adidas CORE / NEO,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.",4.8,85,2020-04-13 15:06:18
35,Women's adidas Sport Inspired Blaze Runner Shoes,5599.0,3359,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,3.6,4,2020-04-13 15:06:18
36,Women's adidas Sport Inspired Lite Racer CLN Shoes,4599.0,2759,40,Adidas CORE / NEO,"Designed with sleek lines for a minimalist look, these shoes have a light and breathable mesh upper. Pillowy cushioning delivers comfort that lasts all day.",4.1,35,2020-04-13 15:06:18
37,Women's adidas Sport Inspired Blaze Runner Shoes,5599.0,3359,40,Adidas CORE / NEO,Extremely functional and subtle running-inspired shoes for women. The breathable and lightweight Knit-Mesh offer extended ventilation and comfort. Cloudfoam midsole and full Adiwear outsole provides durability.,3.6,13,2020-04-13 15:06:18
38,Women's adidas Nova Run X Shoes,8599.0,5159,40,Adidas CORE / NEO,"Being comfortable on your run is just as important as winning the race. These shoes combine soft, supportive Cloudfoam cushioning with a durable Adiwear outsole for comprehensive control and an energised ride. The mesh upper features a foot-hugging, no-sew fit for a locked-in feel.",2.5,20,2020-04-13 15:06:18
39,Women's adidas Sport Inspired Questar Flow Shoes,6599.0,3959,40,Adidas CORE / NEO,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,2.7,41,2020-04-13 15:06:18
40,Women's adidas Sport Inspired Questar Flow Shoes,6599.0,3959,40,Adidas CORE / NEO,Ready for the streets. These shoes borrow their modern look and feel from lightweight runners. They have a flexible knit upper with floating 3-Stripes integrated into the lacing system. Pillow-soft midsole and outsole cushioning provides all-day comfort.,2.5,72,2020-04-13 15:06:18
41,Women's adidas Running EnergyFalcon X Shoes,6599.0,3959,40,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",1.5,32,2020-04-13 15:06:19
42,Women's adidas Running Asweego Shoes,7599.0,4559,40,Adidas CORE / NEO,Shoes with flexibility and responsiveness for multisport training. These shoes have a knit textile upper that hugs the foot for a sock-like fit. Pillow-like midsole cushioning provides long-lasting comfort. Durable rubber inserts at the forefoot and heel provide added grip so you're ready for unexpected terrain.,2.6,84,2020-04-13 15:06:19
43,Women's adidas Running Sooraj Shoes,5599.0,3359,40,Adidas CORE / NEO,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",5.0,75,2020-04-13 15:06:19
44,Women's adidas Sport Inspired Questar Ride Shoes,6999.0,4199,40,Adidas CORE / NEO,"Inspired by modern tech runners, these women's shoes step out with unexpected style. A two-tone mesh upper keeps the feel flexible and mixes with a sculpted Cloudfoam midsole and contrast heel counter.",4.5,4,2020-04-13 15:06:19
45,Men's adidas Sport Inspired Run 70s Shoes,5599.0,3359,40,Adidas CORE / NEO,"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off.",3.9,48,2020-04-13 15:06:19
46,Women's adidas Running Asweerun Shoes,4999.0,2999,40,Adidas CORE / NEO,"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",3.2,12,2020-04-13 15:06:19
47,Women's adidas Sport Inspired Archivo Shoes,4999.0,2999,40,Adidas CORE / NEO,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,3.9,83,2020-04-13 15:06:19
48,Women's Sport Inspired Yking 2.0 Shoes,3299.0,1979,40,Adidas CORE / NEO,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability.",2.0,11,2020-04-13 15:06:19
49,Women's adidas Sport Inspired Archivo Shoes,4999.0,2999,40,Adidas CORE / NEO,A mix of modern comfort and authentic adidas heritage. These running-inspired shoes treat your feet to superior cushioning and an ultra-plush ride with a Cloudfoam midsole and soft sockliner. A sleek mesh upper features suede overlays with subtle 3-Stripes for sporty style.,1.0,42,2020-04-13 15:06:19
50,Women's adidas Running Response Trail X Shoes,6999.0,4199,40,Adidas CORE / NEO,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town.",3.3,69,2020-04-13 15:06:19
51,Women's adidas Running EnergyFalcon X Shoes,6599.0,3959,40,Adidas CORE / NEO,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles.",4.1,33,2020-04-13 15:06:19
52,Women's adidas Originals Marathon Tech Shoes,11999.0,7199,40,Adidas ORIGINALS,"These shoes draft off the Marathon TR, a trail-running pioneer that debuted in 1979. The upper mixes breathable mesh and suede overlays with metallic details. A grid print on the midsole highlights the addition of responsive Boost cushioning.",4.4,35,2020-04-13 15:06:19
53,Women's adidas Originals U_Path Run Shoes,7999.0,4799,40,Adidas ORIGINALS,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",4.8,18,2020-04-13 15:06:19
54,Men's adidas Sport Inspired Drogo Shoes,2699.0,1349,50,Adidas CORE / NEO,The adidas running-inspired shoes for men. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable and non slippery one piece super grip EVA midsole and outsole ensures maximum stability and grip on the ground.,3.5,89,2020-04-13 15:06:19
55,Women's adidas Originals Stan Smith Shoes,7999.0,4799,40,Adidas ORIGINALS,"Since it first hit the courts in the early '70s, the Stan Smith has become legendary for its timeless style. These shoes pay tribute to the iconic design by preserving the low-profile cupsole and perforated 3-Stripes. The allover floral print on the upper gives this version a fresh twist.",4.0,47,2020-04-13 15:06:19
56,Women's adidas Running Sooraj Shoes,5599.0,3359,40,Adidas CORE / NEO,"Fast and sleek. Ready to go. These women's running shoes feature a streamlined, low-profile design and pillow-soft Cloudfoam cushioning for plush landings. The mesh upper delivers a speedy look in fun colours and 3-Stripes.",4.8,94,2020-04-13 15:06:19
57,Women's adidas Originals U_Path Run Shoes,7999.0,4799,40,Adidas ORIGINALS,"The U_Path offers a sleek combination of retro and modern. These shoes are built of soft, breathable mesh for everyday wear. The unique D-ring lacing system is inspired by a '70s running sneaker design. A bungee heel piece provides support, and a lightweight EVA midsole adds all-day wearability.",4.5,35,2020-04-13 15:06:20
58,Men's adidas Sport Inspired Run 70s Shoes,5599.0,3359,40,Adidas CORE / NEO,"These running-inspired shoes are designed with a mesh upper and a textile lining for flexible, all-day comfort. 3-Stripes and a rubber outsole give the shoes a stylish sign-off.",4.7,39,2020-04-13 15:06:20
59,Men's adidas Running Nayo 1.0 shoes,4999.0,2000,60,Adidas CORE / NEO,"The adidas Nayo 1.0 shoes for men. These lightweight running shoes give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability while the Light strike EVA midsole provides premium cushioning's. Full Rubber outsole provides durability.",3.8,98,2020-04-13 15:06:20
60,Men's adidas Sports Inspired Lite Racer Shoes,4299.0,2149,50,Adidas CORE / NEO,The ultra-lightweight build of these shoes takes a running-inspired style to the streets. The sporty look has a breathable and durable mesh upper with stitched-on 3-Stripes. EVA cushioning provides lightweight comfort for every step.,1.5,6,2020-04-13 15:06:20
61,Men's adidas Running Nepton 2.0 Shoes,5999.0,2999,50,Adidas CORE / NEO,Sleek design with reflective three stripes makes it a contemporary yet functional shoe. Breathable textile upper for maximum ventilation and a cushioned midsole provides all-day comfort with rubber outsole for best durability in high wear areas.,0.0,17,2020-04-13 15:06:20
62,Women's adidas Running Aseerun Shoes,4999.0,2999,40,Adidas CORE / NEO,"Aspire to greatness. These running shoes for women are made with an airy, lightweight mesh upper. The durable rubber outsole grips the pavement for added stability. A cushioned midsole brings comfort to each step.",4.8,77,2020-04-13 15:06:20
63,Men's adidas Running Torik Shoes,4799.0,2399,50,Adidas CORE / NEO,"A well cushioned shoe with a fresher look that will appeal to young runners. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",4.4,17,2020-04-13 15:06:20
64,Men's adidas Sport Inspired Kalus 1.0 Shoes,4599.0,2299,50,Adidas CORE / NEO,"A well cushioned running-inspired shoes with a fresher look that will appeal to all. Features Mesh upper for maximum ventilation, lightstrike IMEVA midsole with visible adiprene providing protection from harmful impact forces and durable Rubber outsole for long-lasting wear.",3.0,28,2020-04-13 15:06:20
65,Men's adidas Running Duramo 9 Shoes,5999.0,3599,40,Adidas CORE / NEO,"These men's running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride.",3.9,88,2020-04-13 15:06:20
66,Women's adidas Originals Continental 80 Shoes,7999.0,4799,40,Adidas ORIGINALS,The Continental 80 is an authentic reissue of an indoor sneaker from the '80s. These leather low top shoes show off a swooping stripe on the side and a split rubber cupsole.,4.0,23,2020-04-13 15:06:20
67,MEN'S adidas RUNNING YAMO 1.0 SHOES,4799.0,2399,50,Adidas CORE / NEO,The adidas Yamo 1.0 shoes for men. These lightweight running shoes have a combination of Synthetic with double layer Mesh ensure breathability and durability while the Lightstrike EVA midsole provides premium cushionings. Full Rubber outsole provides durability.,4.3,8,2020-04-13 15:06:20
68,men's ADIDAS RUNNING NEBULAR 1.0 SHOES,4599.0,2299,50,Adidas CORE / NEO,The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability.,4.3,64,2020-04-13 15:06:20
69,MEN'S ADIDAS RUNNING LEGUS SHOES,5999.0,2999,50,Adidas CORE / NEO,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",3.7,52,2020-04-13 15:06:20
70,Men's adidas Originals Supercourt Shoes,7599.0,4559,40,Adidas ORIGINALS,The Supercourt distills 40 years of adidas tennis style. This version of the classic low-profile shoes has perforated 3-Stripes on a crisp leather upper. Decorative stitching and overlays add texture and depth for a multilayered look.,4.3,70,2020-04-13 15:06:20
71,Men's adidas Toe Side II Slippers,1299.0,779,40,Adidas CORE / NEO,"The adidas casual sandals for men with a striking camouflage design. Features stylish webbing straps, Diecut EVA midsole for stable cushioning and abrasion resistant rubber outsole with wet and dry traction pattern.",1.5,59,2020-04-13 15:06:20
72,Men's adidas Outdoor Elevate Sandals,2799.0,1399,50,Adidas SPORT PERFORMANCE,Stylish and sleek adidas sandals for women are extremely lightweight. Adjustable straps enable optimal fit while the Synthetic upper and soft EVA footbed with fitted heel provide enhanced comfort. Rubber outsole with wet and dry traction pattern keeps you in control.,2.8,14,2020-04-13 15:06:20
73,men's ADIDAS RUNNING NEBULAR 1.0 SHOES,4599.0,2299,50,Adidas CORE / NEO,The premium looking adidas Nebular 1.0 Running shoes for men crafted with Mesh overlays which make it lightweight. The breathable sandwich Mesh offer extended ventilation and comfort. Light strike IMEVA midsole with full Rubber outsole provides durability.,5.0,2,2020-04-13 15:06:20
74,Men's adidas Originals Superstar Shoes,7999.0,7999,0,Adidas ORIGINALS,"These trainers born in the '70s keep the look classic with a coated leather upper. They feature all the authentic details, including zigzag edging on the tonal 3-Stripes and the signature rubber shell toe.",4.9,38,2020-04-13 15:06:20
75,Men's adidas Originals Stan Smith Shoes,7999.0,3999,50,Adidas ORIGINALS,The chic minimalism of the Stan Smith invites endless variation. These men's shoes are updated for the season with a subtle twist. A small cutout Trefoil makes a surprise appearance on the smooth leather upper.,4.0,85,2020-04-13 15:06:20
76,Men's adidas Sport Inspired Duramo Lite 2.0 Shoes,4999.0,2499,50,Adidas CORE / NEO,"Refine your interval training in these men's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure.",4.3,6,2020-04-13 15:06:20
77,Men's adidas Swim Ozor III Slippers,1299.0,779,40,Adidas CORE / NEO,"The simple and stylish adidas Ozor III slippers for men. Best suited to match with your swimwear, these printed slippers have a soft footbed for additional comfort for your feet while the Synthetic strap with vents provides breathability proper fitting.",2.2,46,2020-04-13 15:06:21
78,Men's adidas Swim Gadi Slippers,1499.0,749,50,Adidas CORE / NEO,These thongs are primed for warm-weather fun in a simple design with an urban inspired city graphic print on footbed and adidas brading featured on heel and strap.,3.7,9,2020-04-13 15:06:21
79,MEN'S ADIDAS RUNNING LEGUS SHOES,5999.0,2999,50,Adidas CORE / NEO,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",2.7,87,2020-04-13 15:06:21
80,Men's adidas Originals CAMPUS Low Shoes,7999.0,3999,50,Adidas ORIGINALS,"This men's classic sneaker stays close to its trendsetting '80s design, while staying modern for today's streets. Boasting a suede upper with contrast 3-Stripes and heel patch, these shoes feature a reinforced toe cap. The cupsole leaves a herringbone-pattern footprint for a retro twist.",2.0,28,2020-04-13 15:06:21
81,MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,4599.0,2299,50,Adidas CORE / NEO,Style and performance go hand in hand in this adidas Helkin 3.0 Running shoes for men. The breathable upper Knit-Mesh offers maximum ventilation. EVA midsole and rubber outsole.,4.0,87,2020-04-13 15:06:21
82,MEN'S ADIDAS RUNNING LEGUS 1.0 SHOES,5599.0,2799,50,Adidas CORE / NEO,"Get maximum support, comfort and a refreshed look with these adidas Legus shoes for men. The textile mesh upper is breathable and has a sock-like fit and the supportive cage in the shoe's midfoot provides midfoot lockdown. CLOUDFOAM gives instant step in-comfort, long-lasting responsive cushioning and a super-plush feel and the Rubber outsole gives ultimate durability.",2.5,66,2020-04-13 15:06:21
83,Men's adidas Running Kollide Shoes,4799.0,2399,50,Adidas CORE / NEO,Extremely functional and subtle running shoes for men. The breathable and lightweight textile upper offer extended ventilation and comfort. The Cloudfoam midsole gives you cushioning you need everyday and Rubber outsole provides durability.,5.0,54,2020-04-13 15:06:21
84,Men's adidas Running Edge PR Shoes,7999.0,3999,50,Adidas SPORT PERFORMANCE,"With a springy midsole and breathable upper, these men's running shoes are inspired by a racing flat. Bounce provides flexible cushioning for energised comfort, and a mesh upper keeps them lightweight.",4.2,66,2020-04-13 15:06:21
85,Men's adidas Originals FuturePacer Shoes,16049.0,9999,50,Adidas ORIGINALS,The Futurepacer reworks the revolutionary design of the 1984 Micropacer shoes to challenge old ideas of what a sneaker should look like. This futuristic style makes a statement with a fully reflective stretchy upper and a mix of premium leathers. A Boost midsole with textured EVA plugs returns energy with every stride.,3.5,1,2020-04-13 15:06:21
86,MEN'S ADIDAS ORIGINALS MICROPACER X R1 SHOES,15999.0,7999,50,Adidas ORIGINALS,"These shoes are a hybrid of retro and modern adidas designs. Made in leather with suede overlays, they combine the midsole look of the NMD_R1 with the vintage-tech upper of the 1984 Micropacer, born during an era when wearable technology was an exciting new concept. The Boost midsole adds durable energy return.",0.0,94,2020-04-13 15:06:21
87,Men's adidas Outdoor Andorian Shoes,4599.0,2299,50,Adidas SPORT PERFORMANCE,"The adidas Andorian shoes for men are crafted with a strong, grippy outsole inspired by mountain bike tires, and a super durable Mesh and Synthetic upper. They come with Lightweight EVA midsole for stability and cushioning while the abrasion resistant rubber outsole provides aggressive traction for rough terrain.",0.0,49,2020-04-13 15:06:21
88,Men's adidas Sport Inspired Advantage Base Shoes,4999.0,2499,50,Adidas CORE / NEO,A court look emerges on the streets. These shoes have a sleek textile upper and a textured rubber cupsole.,3.5,6,2020-04-13 15:06:21
