,Factory Name,Factory Type,Product Type Type,"Nike, Inc. Brand(s)",Supplier Group,Address,City,State,Country / Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers
0,"A & K Designs, Inc.",FINISHED GOODS,Apparel,Nike,A & K DESIGNS,8564 NE Alderwood Road,Portland,Oregon,USA,AMERICAS,111.0,95.0,73.0,0.0
1,"ACode Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,EXCELLENCE SPORTING GOODS,No 32 VSIP II A Street 31,Bac Tan Uyen,Bình Duong,Vietnam,SE ASIA,347.0,318.0,79.0,0.0
2,Ad Dulyal,FINISHED GOODS,Apparel,Nike,MAS HOLDINGS,Part of land no 1075 Basin 5 Ad Dulayl,Zarqa,Az Zarqa,Jordan,EMEA,1303.0,1166.0,87.0,2.5
3,"AHP APPAREL PVT LTD., UNIT 60",FINISHED GOODS,Apparel,Nike,SHAHI,207 ABDE F KIADB INDUSTRIAL AREA,HASSAN,Karnataka,India,S ASIA,2704.0,906.0,75.0,0.0
4,AHP APPARELS PVT.LTD. UNIT 61,FINISHED GOODS,Apparel,Nike,SHAHI,SY NO 34 35 37 A TO 37H,"SHIKARIPURA, SHIVAMOGGA",Karnataka,India,S ASIA,1573.0,861.0,75.0,0.0
5,Ajara 1,FINISHED GOODS,Apparel,Nike,MILTEKS,Bobokvati Street 14 Bobokvati Village,Kobuleti,Ajaria,Georgia,EMEA,1227.0,1153.0,96.0,0.0
6,Ajara Textile Ltd,FINISHED GOODS,Apparel,Nike,MILTEKS,31 Motserelia Str,Poti,Samegrelo-Zemo Sva,Georgia,EMEA,1394.0,1275.0,92.0,0.0
7,"All Wells International Co., Ltd.",FINISHED GOODS,Footwear,Nike,SPORTS GEAR,81 Road Toc Tien Commune Phu My Town,Phu My,Bà Ra - Vung Tàu,Vietnam,SE ASIA,2904.0,2137.0,81.0,0.0
8,Almaxtex Tekstil Sanayi ve Ticaret A.S.,FINISHED GOODS,Apparel,Nike,YESIM,Karapinar Mah Ankara Yolu Cad,Bursa,Bursa,Turkey,EMEA,4026.0,2568.0,53.0,0.0
9,ANHUI COSMO SPORTING GOODS COMPANY LIMITED,FINISHED GOODS,Equipment,Nike,ANHUI COSMO,"Economic Development Zone, Jinzhai County",Lu'an City,Anhui,China,N ASIA,357.0,320.0,95.0,0.0
10,ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,Footwear,Nike,ANIGER,"Rua Armindo Eltz, 51 - Quatro Colonias",Campo Bom – RS,Rio Grande do Sul,Brazil,AMERICAS,472.0,80.0,48.0,2.5
11,Annic II S.A.,FINISHED GOODS,Apparel,Nike,GILDAN,Las Palmeras Industrial Park,Masatepe,Managua,Nicaragua,AMERICAS,4634.0,4012.0,57.0,0.0
12,"Annora Vietnam  Footwear Co.,Ltd",FINISHED GOODS,Footwear,Nike,HUALI,"Nghi Son Economic Zone, Xuan Lam Ward,  Nghi Son Township",Nghi Son Township,Thanh Hóa,Vietnam,SE ASIA,4636.5,4012.0,90.0,0.0
13,Apple Apparel Cambodia Co Ltd,FINISHED GOODS,Apparel,Nike,RAMATEX,Phum Chumpou Voin,Phonm Penh,Phnom Penh,Cambodia,SE ASIA,1532.0,1391.0,79.0,0.0
14,ArtFX Concord,FINISHED GOODS,Apparel,Nike,TEGRA,244 Manor Ave SW,Concord,North Carolina,USA,AMERICAS,116.0,104.0,49.0,2.5
15,ARTFX INC,FINISHED GOODS,Apparel,Nike,TEGRA,3801 E Princess Anne Rd,Norfolk,Virginia,USA,AMERICAS,379.0,359.0,38.0,2.5
16,Asena 4,FINISHED GOODS,Apparel,Nike,YESIM,LENIN STREET  243a,"KONGAZ,COMRAT",Gagauzia-- Unitate,Moldova,EMEA,723.0,571.0,97.0,0.0
17,ASIATAN (CHINA),MATERIALS,Footwear,Nike,ASIATAN,93 TIANHE W ROAD BAI SHA VILLAGE,Jiangmen Guangdong,Guangdong,China,N ASIA,322.0,255.0,52.0,0.0
18,"Atoms., Inc",FINISHED GOODS,Equipment,Nike,ATOMS,"156-4,DAIFUKU",SAKURAI,Nara,Japan,N ASIA,3.0,1.0,0.0,0.0
19,AVERY DENNISON (GUANGZHOU) CONVERTED PRODUCTS LTD,MATERIALS,Apparel,Nike,AVERY DENNISON,7 Guangyi Road Nansha District,Guangzhou,Guangdong,China,N ASIA,2935.0,1822.0,56.0,0.0
20,"Avery Dennison (Suzhou) Co.,Ltd ",MATERIALS,Apparel,Nike,AVERY DENNISON,No 56 Yangpu Road,Suzhou,Jiangsu,China,N ASIA,855.0,585.0,49.0,0.0
21,AVERY DENNISON RIS HONDURAS S DE R,FINISHED GOODS - COMPONENTS,Apparel,Nike,AVERY DENNISON,ZIP BUFALO,Villanueva,Cortés,Honduras,AMERICAS,950.0,800.0,35.0,1.0
22,Avery Dennison RIS Italia S.r.l.,FINISHED GOODS - COMPONENTS,Apparel,Nike,AVERY DENNISON,Strada Provinciale Bonifica 39 41,Ancarano,Teramo,Italy,EMEA,384.0,241.0,42.0,2.5
23,Avery Dennison RIS Vietnam Co. Ltd.,MATERIALS,Footwear,Nike,AVERY DENNISON,LOT E01 TRUNG TAM ROAD,Can Giuoc,Long An,Vietnam,SE ASIA,2779.0,1983.0,42.0,0.0
24,Avery Dennison Tekstil Urunleri Sanayi ve Ticaret Ltd. Sti.,MATERIALS,Apparel,Nike,AVERY DENNISON,Gocerler Mahallesi Baskomutan Ataturk Caddesi ,Tekirdag,Tekirdag,Turkey,EMEA,542.0,350.0,51.0,0.0
25,BAIKSAN (CHINA),MATERIALS,Footwear,Nike,BAIKSAN,No 4 Industrial West Road,Dongguan,Guangdong,China,N ASIA,160.0,120.0,30.0,0.0
26,BAIKSAN (KOREA),MATERIALS,Footwear,Nike,BAIKSAN,10 Noksansandan 382 ro,Busan,Gyeongsangnamdo,South Korea,N ASIA,57.0,30.0,0.0,0.0
27,BAIKSAN (TR1) (INDONESIA),MATERIALS,Footwear,Nike,BAIKSAN,JL  BUMI MAS I NO 7 KAWASAN INDUSTRI DAN PERGUDANGAN,Tangerang Banten,Banten,Indonesia,S ASIA,392.0,340.0,17.0,0.0
28,BAIKSAN (VIETNAM),MATERIALS,Footwear,Nike,BAIKSAN,NO 50 ROAD 3 VSIP II HOA PHU PRECINCT,Binh Duong,Bình Duong,Vietnam,SE ASIA,343.0,329.0,11.0,0.0
29,Beijing Our Clothing and Apparel Ltd,FINISHED GOODS,Apparel,Nike,BEIJING CLOTHING,XiQu YiHao ,BeiJing,Beijing,China,N ASIA,5.0,4.0,1.0,0.0
30,"Berry Apparel Cambodia Co., Ltd.",FINISHED GOODS,Apparel,Nike,RAMATEX,Phum Chumpou Voin,Phnom Penh,Phnom Penh,Cambodia,SE ASIA,3217.0,2994.0,89.0,0.0
31,Big Game Sports,FINISHED GOODS,Apparel,Nike,BIG GAME SPORTS,13835 Welch Rd,Dallas,Texas,USA,AMERICAS,68.0,51.0,36.0,0.0
32,TNG Investment and Trading JSC - Dai Tu,FINISHED GOODS,Apparel,Nike,TNG,Tien Hoi commune Dai Tu District Thai Nguyen Province,Thai Nguyen,Thái Nguyên,Vietnam,SE ASIA,2148.0,1969.0,75.0,0.0
33,Blue Star Graphics,FINISHED GOODS,Apparel,Nike,BLUE STAR,15825 Gateway Drive,Frisco,Texas,USA,AMERICAS,45.0,41.0,65.0,0.0
34,Bodyline (Private) Limited BPL II,FINISHED GOODS,Apparel,Nike,MAS HOLDINGS,Kalawellawa Road,Agalawatta,Kalutara,Sri Lanka,S ASIA,1911.0,1794.0,85.0,0.0
35,Bodyline Private Limited III,FINISHED GOODS,Apparel,Nike,MAS HOLDINGS,Kalawellawa Road,Agalawatta,Kalutara,Sri Lanka,S ASIA,1042.0,991.0,81.0,0.0
36,BODYLINE PVT LIMITED,FINISHED GOODS,Apparel,Nike,MAS HOLDINGS,RATNAPURA ROAD,HORANA,Kalutara,Sri Lanka,S ASIA,4636.5,4012.0,83.0,0.0
37,"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI",FINISHED GOODS,Apparel,Nike,ASIAN SOURCING HEADWEAR,ROAD No 3 NHON TRACH 2 IZ NHON PHU,NHON TRACH,Ðng Nai,Vietnam,SE ASIA,1680.0,1400.0,80.0,0.0
38,"Branch of Thuan Phuong Embroideries Garments Co., Ltd- M.D.K Factory ",FINISHED GOODS,Apparel,Nike,THUAN PHUONG,09 09A To Ky Str Trung My Tay Ward Dist 12,Ho Chi Minh City,Ho Chi Minh,Vietnam,SE ASIA,1055.0,823.0,72.0,0.0
39,"Branch of Thuan Phuong Embroideries Garments Co.,Ltd - Binh Chanh Factory",FINISHED GOODS,Apparel,Nike,THUAN PHUONG,D15 8 Dinh Duc Thien Street,Binh Chanh District,Ho Chi Minh,Vietnam,SE ASIA,1169.0,1105.0,77.0,0.0
40,Branch of Thuan Phuong Embroideries Garments Company Limited - Thuan Phuong Long An Factory,FINISHED GOODS,Apparel,Nike,THUAN PHUONG,Hamlet 3 Long Cang Commune Can Duoc Dist Long An Province,Can Duoc,Long An,Vietnam,SE ASIA,2327.0,2229.0,62.0,0.0
41,"Brandix Apparel Solutions (Pvt) Limited – Essentials, Batticaloa",FINISHED GOODS,Apparel,Nike,BRANDIX ASIA HOLDINGS,449 New Kalmunai Road Aryampathy Batticaloa,Batticaloa,Batticaloa,Sri Lanka,S ASIA,3144.0,2829.0,86.0,0.0
42,"Brandix Apparel Solutions (Pvt) Limited – Essentials, Koggala",FINISHED GOODS,Apparel,Nike,BRANDIX ASIA HOLDINGS,"No 27, Export processing zone",Koggala,Galle,Sri Lanka,S ASIA,1360.0,1190.0,84.0,0.0
43,"Brandix Apparel Solutions (Pvt) Limited – Essentials, Kahawatta",FINISHED GOODS,Apparel,Nike,BRANDIX SOLUTIONS,No 42 2,Kahawattha,Ratnapura,Sri Lanka,S ASIA,1079.0,1025.0,88.0,0.0
44,BRANDIX APPL INDIA(P) LTD,FINISHED GOODS,Apparel,Nike,BRANDIX ASIA HOLDINGS,Plot No 07  BIAC SEZ,India.,Andhra Pradesh,India,S ASIA,3985.0,3517.0,91.0,0.0
45,"C&W Embroidery, Inc.",FINISHED GOODS,Apparel,Nike,C&W,386 Hwy 356,Rienzi,Mississippi,USA,AMERICAS,165.0,125.0,80.0,0.0
46,C.C. Creations,FINISHED GOODS,Apparel,Nike,CC CREATIONS,1800 Shiloh Avenue,Bryan,Texas,USA,AMERICAS,345.0,304.0,57.0,0.0
47,"CAN SPORTS VIETNAM CO., LTD",FINISHED GOODS,Footwear,Nike,SPORTS GEAR,THUAN HOA HAMLET TRUONG MIT COMMUNE,DUONG MINH CHAU DISTRICT,Tây Ninh,Vietnam,SE ASIA,4636.5,4012.0,72.0,0.0
48,Cassia Garment Company Limited,FINISHED GOODS,Apparel,Nike,RAMATEX,287 289 Suksawad 30 Suksawad Road Bangpakok,Rathjaburana,Chon Buri,Thailand,SE ASIA,772.0,724.0,64.0,2.5
49,"CCH TOP VN CO., LTD.",FINISHED GOODS,Apparel,Nike,CHUAN CHENG,Tan Thuan Road Tan Thuan Export Processing Zone Dist 7,HO CHI MINH,Ho Chi Minh,Vietnam,SE ASIA,1553.0,1469.0,85.0,0.0
50,CHANG SHIN DONG NAI COMPANY LTD,FINISHED GOODS,Footwear,Nike,CHANGSHIN,LO IV II TAN PHU INDUSTRIAL ZONE,Dong Nai,Ðng Nai,Vietnam,SE ASIA,2826.0,2613.0,93.0,0.0
51,CHANG SHIN INDONESIA,FINISHED GOODS,Footwear,Nike,CHANGSHIN,JL DUSUN GINTUNGKOLOT,KARAWANG,Jawa Barat,Indonesia,S ASIA,4636.5,4012.0,90.0,0.0
52,"CHANG SHIN VIETNAM CO., LTD",FINISHED GOODS,Footwear,Nike,CHANGSHIN,Lot C Loc An Binh Son Industrial Zone,Long Thanh District,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,89.0,0.0
53,"CHANG SHIN VIETNAM COMPANY, LTD.",FINISHED GOODS,Footwear,Nike,CHANGSHIN,Thanh Phu Vinh Cuu Dong Nai,Dong Nai,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,77.0,0.0
54,Chang Tai Song Lin Woven Belt Co. LTD,MATERIALS,Apparel,Nike,CHI YANG RIBBON,Xin Tai Industrial Zone,Zhang Zhou,Fujian,China,N ASIA,123.0,112.0,70.0,0.0
55,"Chang Wong Industrial Co., Ltd.",FINISHED GOODS,Equipment,Nike,CHANG WONG INDUSTRIAL,No 139 Ln 92 Feng Nan St,Taichung City,Taichung,Taiwan,N ASIA,31.0,22.0,30.0,2.5
56,ChangShin Inc.,FINISHED GOODS,Footwear,Nike,CHANGSHIN,"242, Jangpyeong-ro, Saha-gu, Busan, Korea",Busan,Busan Gwangyeogsi,South Korea,N ASIA,998.0,323.0,52.0,0.0
57,Charmgo (Cambodia) Co. Ltd,FINISHED GOODS,Apparel,Nike,CHARMGO,Pham Bostanei Kuhn Kaheing Srok Samrongtong Kampong Spey,Kampong Spey,Kampong Spueu,Cambodia,SE ASIA,1557.0,1526.0,71.0,1.0
58,"Cheng Horng Industrial Co., Ltd.",MATERIALS,Apparel,Nike,LITTLE KING,No 230  Hongzun Road,Taoyuan,Taoyuan,Taiwan,N ASIA,111.0,88.0,22.0,2.5
59,CHI YANG RIBBON,MATERIALS,Apparel,Nike,CHI YANG RIBBON,NO219 Guan Hai BLVD Bali district,New Taipei,New Taipei,Taiwan,N ASIA,79.0,41.0,71.0,2.5
60,"Chongqing Sumec Changjiang Garment Co.,Ltd",FINISHED GOODS,Apparel,Nike,SINOMACH SUMEC TEXTILE,"No.22-2 , Lianhe Road , Wanzhou District",Chongqing,Chongqing,China,N ASIA,209.0,193.0,83.0,0.0
61,"CHUAN CHENG HAT CO., LTD.",FINISHED GOODS,Apparel,Nike,CHUAN CHENG,No 56 Chung Shan Road,TAICHUNG,Taichung,Taiwan,N ASIA,121.0,101.0,86.0,2.5
62,"Chun Yu Ribbon ENT Co., Ltd.",MATERIALS,Apparel,Nike,CHI YANG RIBBON,No 557 Sec  4 Zhangshui Rd  Pitou Township,Changhua,Changhua,Taiwan,N ASIA,139.0,121.0,71.0,2.5
63,"Chuzhou Korrun Future Luggage Products Co., Ltd",FINISHED GOODS,Equipment,Nike,FORMOSA,1 Building  No 708 Huizhou North Road,Chuzhou,Anhui,China,N ASIA,574.0,462.0,65.0,0.0
64,COCALQUI COOPERATIVA DE TRABALHO DA INDUSTRIA DE CALCADOS DE QUIXERAMOBIM LTDA.,FINISHED GOODS,Footwear,Nike,ANIGER,AV JOSE G PINHEIRO 155 EDMILSON CORREIA,QUIXERAMOBIM,Ceará,Brazil,AMERICAS,4636.5,4012.0,53.0,0.0
65,"Colltex Garment Mfy Co., Ltd.(VN)",FINISHED GOODS,Apparel,Nike,ECLAT,Lot 28 Road No7 Trang Bang Industrial Park,Trang Bang,Tây Ninh,Vietnam,SE ASIA,1933.0,1762.0,90.0,0.0
66,CONG TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,SOUTH ISLAND,"27 Mac Van Thanh street, Ward 3",Go Cong,Tin Giang,Vietnam,SE ASIA,1455.0,1289.0,85.0,0.0
67,Cong TY Tnhh May Mac Premier Global Vietnam,FINISHED GOODS,Apparel,Nike,NICE APPAREL,Lo C Duong so 1,Tinh Binh Duong,Bình Duong,Vietnam,SE ASIA,1186.0,1086.0,68.0,0.0
68,Hoosier Manufacturing,FINISHED GOODS,Apparel,Nike,INDIANA KNITWEAR,Calzada concepcion 5ta calle 5 26 Zona 6 Ofi,Villa Nueva,Guatemala,Guatemala,AMERICAS,3526.0,3195.0,63.0,0.0
69,"COSMO TEXTILE CO.,LTD(KNITTING/WOVEN CHINA)",MATERIALS,Footwear,Nike,COSMOPOLITAN TEXTILE,THE THIRD INDUSTRIAL ESTATE,Dongguan,Guangdong,China,N ASIA,164.0,115.0,30.0,0.0
70,"COSMO TEXTILE CO.,LTD(NON-WOVEN CHINA)",MATERIALS,Footwear,Nike,COSMOPOLITAN TEXTILE,No 45 Xin Yuan Road Yuanhua Town,Haining,Zhejiang,China,N ASIA,234.0,170.0,37.0,0.0
71,COSMO-E-MART NON-WOVEN COMPANY LIMITED,MATERIALS,Footwear,Nike,COSMOPOLITAN TEXTILE,Road 1 Duc Hoa Ha Industrial Park,Duc Hoa District,Long An,Vietnam,SE ASIA,58.0,36.0,4.0,2.5
72,DAEHWA INDONESIA PT (TR1) (INDONESIA),MATERIALS,Footwear,Nike,DAEHWA,Bekasi Intl Industrial Estate Block ,BEKASI,Jawa Barat,Indonesia,S ASIA,334.0,262.0,31.0,0.0
73,DAERIM TEXTILE CO LTD (KOREA),MATERIALS,Footwear,Nike,DAERIM TEXTILE,14 NOKSANSANDAN 382 RO 14BEON GIL,Busan,Busan Gwangyeogsi,South Korea,N ASIA,75.0,55.0,21.0,2.5
74,DAEWON (KOREA),MATERIALS,Footwear,Nike,DAEWON,868 14 Gyeonggi daero,Osan Si,Gyeonggido,South Korea,N ASIA,150.0,90.0,0.0,0.0
75,"DAEWON CHEMICAL VINA CO., LTD.",MATERIALS,Footwear,Nike,DAEWON,ROAD NO5 LONG THANH INDUSTRIAL ZONE TAM AN COMMUNE,LONG THANH,Ðng Nai,Vietnam,SE ASIA,374.0,192.0,4.0,0.0
76,Dah Jeng Embroidery,FINISHED GOODS - COMPONENTS,Apparel,Nike,EMBLEM SOURCE,No 68 Jiuqiong Street Luzhou District,New Taipei City,New Taipei,Taiwan,N ASIA,87.0,53.0,87.0,2.5
77,"Dalian YKK Zipper Co.,Ltd.",MATERIALS,Apparel,Nike,YKK,No 50 Tieshan West Road,Dalian,Liaoning,China,N ASIA,2.0,1.0,1.0,2.5
78,DASS ELDORADO SRL,FINISHED GOODS,Footwear,Nike,DASS,ALBERTO BEJAR BARRIOS 407,ELDORADO,Misiones,Argentina,AMERICAS,66.0,66.0,30.0,2.5
79,Dass Nordeste Calcados e Artigos Esportivos Ltda,FINISHED GOODS,Footwear,Nike,DASS,Av Juracy Magalhaes 5100,Vitoria da Conquista,Bahia,Brazil,AMERICAS,1443.0,1093.0,39.0,0.0
80,DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA.,FINISHED GOODS,Apparel,Nike,CLASSICO,Av Juracy Magalhaes,Vitoria da Conquista,Bahia,Brazil,AMERICAS,2998.0,1814.0,70.0,0.0
81,DASS Nordeste Calcados e Artigos Esportivos LTDA.,FINISHED GOODS,Footwear,Nike,DASS,RUA PROFESSORA MARIA LIA CELIA VELLAME,SANTO ESTEVAO,Bahia,Brazil,AMERICAS,3778.0,3202.0,55.0,0.0
82,DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA,FINISHED GOODS,Footwear,Nike,DASS,"RUA JULIO HAUSER, 1640 - BAIRRO 7 DE SETEMBRO",Ivoti,Rio Grande do Sul,Brazil,AMERICAS,40.0,40.0,40.0,0.0
83,Dass Sul Calcados e Artigos Esportivos Ltda,FINISHED GOODS,Apparel,Nike,CLASSICO,"Marcilio Dias, 10",Saudades,Santa Catarina,Brazil,AMERICAS,845.0,227.0,77.0,2.5
84,"FREETREND INDUSTRIAL A (VIETNAM) CO., LTD",FINISHED GOODS,Footwear,Nike,DEAN SHOES,"LOT.1-4, 10-13, 26-37, Road no3, Industrial Zone In,",Ho Chi Minh City,Ho Chi Minh,Vietnam,SE ASIA,4636.5,4012.0,90.0,0.0
85,"DECOTEX INTERNATIONAL, Ldta de C.V.",FINISHED GOODS,Apparel,Nike,TEGRA,American Industrial Park Block H Calle Canada,Ciudad Arce,La Libertad,El Salvador,AMERICAS,2050.0,1679.0,54.0,0.0
86,Delta Alfa Corap Ve Tekstil Sanayi Tic Ltd Sti,FINISHED GOODS,Equipment,Nike,DELTA,Topcular Mah 623 sok No1 Cilimli Duzce,Duzce,Düzce,Turkey,EMEA,730.0,449.0,62.0,0.0
87,Delta Campeche S.A.de C.V.,FINISHED GOODS,Apparel,Nike,FUN TEES,Carretera Federal 180,Campeche,Campeche,Mexico,AMERICAS,293.0,233.0,59.0,0.0
88,Delta Galil Industries LTD Egypt,FINISHED GOODS,Apparel,Nike,DELTA,Delta Textile Shamal El Saeed,El-Minya,AI Minya,Egypt,EMEA,2566.0,2245.0,83.0,0.0
89,"Delta Galil Vietnam Co., Ltd",FINISHED GOODS,Equipment,Nike,DELTA,Phu Kim Village Cat Trinh Commune Phu Cat District,Phu Cat,Bình Ðnh,Vietnam,SE ASIA,3063.0,2655.0,75.0,0.0
90,Delta Socks Ltd.,FINISHED GOODS,Equipment,Nike,DELTA,INDUSTRIAL ZONE 1 HAYOTZRIM ST,KARMIEL,H_efa,Israel,EMEA,205.0,13.0,60.0,0.0
91,DELTA TEXTILE BULGARIA LTD.,FINISHED GOODS,Equipment,Nike,DELTA,71 Tutrakan Blvd,ROUSSE,Ruse,Bulgaria,EMEA,451.0,342.0,78.0,0.0
92,Der Will S.A.,FINISHED GOODS,Apparel,Nike,DER WILL,Monsenor de Andrea 3333 Villa de Mayo,Buenos Aires,Buenos Aires,Argentina,AMERICAS,232.0,222.0,61.0,2.5
93,DESTRO PAOLO SPA,FINISHED GOODS,Equipment,Nike,DESTRO,Viale dell Artigianato 11,PD,Padova,Italy,EMEA,145.0,120.0,35.0,2.5
94,Dewhirst Cambodia,FINISHED GOODS,Apparel,Nike,CASTLECRAFTS,Tuorl Pongror Village,Phnom Penh,Kandaal,Cambodia,SE ASIA,2600.0,2425.0,72.0,1.0
95,Diamant srl,FINISHED GOODS,Footwear,Nike,DIAMANT,Viale del Lavoro 8,Sorga,Verona,Italy,EMEA,250.0,188.0,70.0,2.5
96,Diamant srl #2,FINISHED GOODS,Footwear,Nike,DIAMANT,Via Giorgio Perlasca 6B,MONTEBELLUNA,Veneto,Italy,EMEA,58.0,50.0,81.0,2.5
97,DOG STYLE SA DE CV,FINISHED GOODS,Equipment,Nike,DOG STYLE SA,CARRETERA LEON LAGOS DE MORENO NO 2237,LEON GTO,Guanajuato,Mexico,AMERICAS,371.0,330.0,70.0,0.0
98,"VIETNAM DONA ORIENT CO., LTD",FINISHED GOODS,Footwear,Nike,FENG TAY,Song May Industrial Zone Bac Son Ward,Trang Bom,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,64.0,0.0
99,"Dona Pacific Vietnam Co., Ltd.",FINISHED GOODS,Footwear,Nike,FENG TAY,Song May Industrial Zone  Bac Son Villiage ,Dong Nai,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,60.0,0.0
100,"Vietnam Dona Standard Footwear Co., Ltd",FINISHED GOODS,Footwear,Nike,FENG TAY,Xuan Loc Industrial Zone,Xuan Loc,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,66.0,0.0
101,"DONA VICTOR FOOTWEAR CO., LTD",FINISHED GOODS,Footwear,Nike,FENG TAY,SONG MAY INDUSTRIAL ZONE BAC SON WARD,TRANG BOM DISTRICT,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,68.0,0.0
102,"Dong Guan Goldenprene Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,GUANG DER,Summitop Industrial,"Liaobu Town, Dongguan",Guangdong,China,N ASIA,772.0,570.0,67.0,0.0
103,Dong Guan New Prosperity Optical Mfy Ltd. Chang An Branch,FINISHED GOODS,Equipment,Nike,SUN HING OPTICAL,No 43 XinFeng Road XinMin District ChangAn Town,Dongguan,Guangdong,China,N ASIA,78.0,67.0,65.0,0.0
104,Dongguan leefong label manufacture co ltd.,FINISHED GOODS - COMPONENTS,Apparel,Nike,LEE BOU LABEL ENTERPRISE,NO 9 WUSONG ROAD YUWU COMMUNITY,DONGGUAN,Guangdong,China,N ASIA,475.0,406.0,63.0,0.0
105,"Dongguan Stella Footwear Product Creation Co., LTD.",FINISHED GOODS,Footwear,Nike,STELLA,Hou Da Road Da Ling Management District,Dongguan,Guangdong,China,N ASIA,421.0,267.0,55.0,0.0
106,"Dongguan Ye Ji Industrial Co., Ltd.",FINISHED GOODS,Apparel,Nike,CRYSTAL,Room 101 No3 Building No112 Chang Huang Road,DONGGUAN CITY,Guangdong,China,N ASIA,844.0,735.0,63.0,0.0
107,"Dongguan Youkai Industrial Co., Ltd",FINISHED GOODS,Equipment,Nike,DONGGUAN YOUKAI,Room 501 Building 2 No 11 Dalingshan Hupan Nan Yi Jie,Dongguan,Guangdong,China,N ASIA,18.0,12.0,23.0,0.0
108,DONGJIN (Indonesia),MATERIALS,Footwear,Nike,DONGJIN,Artha Industrial Hill ,Karawang,Jawa Barat,Indonesia,S ASIA,393.0,314.0,14.0,0.0
109,DONGJIN TEXTILE DYEING HOUSE,FINISHED GOODS - COMPONENTS,Footwear,Nike,DONGJIN,"#16-13 SINSANRO, SA-HA GU, BUSAN, KOREA","SA-HA GU, BUSAN",Busan Gwangyeogsi,South Korea,N ASIA,38.0,35.0,16.0,0.0
110,DONGJIN TEXTILE VINA,MATERIALS,Footwear,Nike,DONGJIN,LOT D8 1 ROAD NO 2, Dong Nai,Ðng Nai,Vietnam,SE ASIA,210.0,150.0,35.0,0.0
111,"DONGJIN TEXTILE VINA Co., Ltd ",MATERIALS,Footwear,Nike,DONGJIN,Lot D 8 1 Road No 2,Dong Nai Province,Ðng Nai,Vietnam,SE ASIA,440.0,379.0,27.0,2.5
112,DUCKSAN ,FINISHED GOODS - COMPONENTS,Footwear,Nike,DUCKSAN,76 Opoanro Opoeup,Gyeonggi-do,Gyeonggido,South Korea,N ASIA,29.0,24.0,45.0,2.5
113,DUCKSAN CO LTD (KOREA),MATERIALS,Footwear,Nike,DUCKSAN,76 Opoanro,Gyeonggi Do,Gyeonggido,South Korea,N ASIA,11.0,10.0,10.0,2.5
114,DUCKSAN CO LTD (Vietnam),MATERIALS,Footwear,Nike,DUCKSAN,Lot A4 Dat Cuoc Industrial Dat Cuoc ward,Bac Tan Uyen,Bình Duong,Vietnam,SE ASIA,192.0,137.0,39.0,2.5
115,"E-Top (Vietnam) Co.,Ltd",FINISHED GOODS,Apparel,Nike,ECLAT,Lot IX1  IX2  IX3  IX4,Ba Ria-Vung Tau,Bà Ra - Vung Tàu,Vietnam,SE ASIA,2742.0,2563.0,97.0,0.0
116,"Eagle Nice (Yifeng) Garments Co., Ltd",FINISHED GOODS,Apparel,Nike,EAGLE NICE,No 76 Gong Zhang Road,Yifeng,Jiangxi,China,N ASIA,1963.0,1570.0,98.0,0.0
117,EAGLE NICE JINGMEN GARMENTS CO LTD,FINISHED GOODS,Apparel,Nike,EAGLE NICE,N0 3 of Fenghuang Road,Jingmen,Hubei,China,N ASIA,792.0,631.0,85.0,0.0
118,East Wind Footwear Company Limited (India Branch) - Unit I,FINISHED GOODS,Footwear,Nike,FENG TAY,Plot No 3D Unit I SIPCOT Industrial Park,Tamil Nadu,Tamil Nadu,India,S ASIA,4636.5,4012.0,69.0,0.0
119,ECI ELASTIC CO LTD,MATERIALS,Apparel,Nike,ECI,No 13 15 Shin Yeh Rd,Changhua,Changhua,Taiwan,N ASIA,330.0,250.0,60.0,2.5
120,"ECLAT FABRIC CO., LTD.",MATERIALS,Apparel,Nike,ECLAT,My Xuan A2 Industrial Zone,Ba Ria-Vung Tau,Bà Ra - Vung Tàu,Vietnam,SE ASIA,868.0,565.0,48.0,2.5
121,"ECLAT TEXTILE CO., LTD. (VIETNAM)",FINISHED GOODS,Apparel,Nike,ECLAT,5A ROAD NHON TRACH 2 INDUSTRIAL ZONE NHON TRACH DIST,Nhon Trach,Ðng Nai,Vietnam,SE ASIA,4636.5,4012.0,90.0,0.0
